AITO,问界M9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0cc67d2d9cdb477a86b93427af6c6670~tplv-resize:640:0.png,156051,"[46.98, 56.98]",赛力斯汽车,35,大型SUV,增程式,2024.09,4年或10万公里
吉利汽车,星瑞,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/8498ea9e49fe459389f9590d3217e55c~tplv-resize:640:0.png,154783,"[9.97, 13.57]",吉利汽车,36,紧凑型车,汽油,2024.10,4年或10万公里
长安,逸动,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/539de6103bab4d678713a55c06cb9dce~tplv-resize:640:0.png,153348,"[6.99, 7.99]",长安汽车,37,紧凑型车,汽油,2024.03,3年或10万公里
奔驰,奔驰GLC,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e8b4e398af9d4c8ea7656766509bc7d2~tplv-resize:640:0.png,153100,"[34.68, 45.03]",北京奔驰,38,中型SUV,48V轻混系统,2024.11,3年不限公里
本田,雅阁,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/dadb17a173de491480541d39301b347e~tplv-resize:640:0.png,152949,"[13.48, 19.38]",广汽本田,39,中型车,汽油,2024.09,3年或10万公里
比亚迪,宋PLUS EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c0bfd8c745184d3ca2f7ca905e564a50~tplv-resize:640:0.png,152285,"[14.98, 17.58]",比亚迪,40,紧凑型SUV,纯电动,2024.08,6年或15万公里
红旗,红旗H5,https://p3-dcd.byteimg.com/img/motor-mis-img/4e5a38bacf99a7c63567e63f3bde1216~tplv-resize:640:0.png,148793,"[11.98, 18.58]",一汽红旗,41,中型车,汽油,2024.09,4年或10万公里
奥迪,奥迪Q5L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a56d9f6ed52742a1a285b07e14d7b0bd~tplv-resize:640:0.png,147224,"[25.92, 31.77]",一汽奥迪,42,中型SUV,汽油,2024.11,3年或10万公里
奔驰,奔驰E级,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9b08b1c3602645d7ad7574aeb71b6ce3~tplv-resize:640:0.png,145535,"[38.12, 53.38]",北京奔驰,43,中大型车,48V轻混系统,2024.09,3年不限公里
长安,长安Lumin,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ce6c0eedd9c6421c94ef984285239d44~tplv-resize:640:0.png,145142,"[3.39, 6.19]",长安汽车,44,微型车,纯电动,2024.09,3年或12万公里
宝马,宝马3系,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8a3daca02bc04bfea188f572f278aaf6~tplv-resize:640:0.png,144302,"[24.59, 30.99]",华晨宝马,45,中型车,汽油,2024.09,3年或10万公里
比亚迪,汉DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8f0fb2e258644f6fb0f1871d84c3b7d7~tplv-resize:640:0.png,141284,"[16.58, 22.58]",比亚迪,46,中大型车,插电式混合动力,2024.09,6年或15万公里
埃安,AION S,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ebc63e8edb6a4a0786ba64cc32915d6a~tplv-resize:640:0.png,139821,"[11.48, 15.49]",广汽埃安新能源,47,紧凑型车,纯电动,2024.07,4年或15万公里
小米汽车,小米SU7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d43d0a9777714a72827b239edcbc1070~tplv-resize:640:0.png,139487,"[21.59, 29.99]",小米汽车,48,中大型车,纯电动,2024.03,5年或10万公里
丰田,威兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f81c60b3512f4732baf8f9b8d3fc4fc1~tplv-resize:640:0.png,138036,"[13.58, 22.68]",广汽丰田,49,紧凑型SUV,汽油,2024.05,3年或10万公里
奇瑞,艾瑞泽8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d8d9de3901d34378b2fd87287e07b7fa~tplv-resize:640:0.png,137510,"[8.19, 13.09]",奇瑞汽车,50,紧凑型车,汽油,2024.03,3年或10万公里
比亚迪,元UP,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/78f34bb5fec8410eab1f13cda144cbe3~tplv-resize:640:0.png,134839,"[9.38, 11.98]",比亚迪,51,小型SUV,纯电动,2024.03,6年或15万公里
理想汽车,理想L7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/765b4b2da65b4f1ea5e705c015be07b0~tplv-resize:640:0.png,134018,"[30.18, 35.98]",理想汽车,52,中大型SUV,增程式,2024.03,5年或10万公里
哈弗,哈弗H6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/62328473441241d98a6a623ffe67178f~tplv-resize:640:0.png,132698,"[8.39, 12.99]",长城汽车,53,紧凑型SUV,汽油,2024.06,3年或10万公里
吉利汽车,熊猫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4ca80c7564204d0c9857e396ea3b014d~tplv-resize:640:0.png,131599,"[2.99, 4.69]",吉利汽车,54,微型车,纯电动,2024.11,3年或12万公里
比亚迪,唐DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/955495dcdd864247962e781d5633f15c~tplv-resize:640:0.png,131340,"[17.98, 26.98]",比亚迪,55,中型SUV,插电式混合动力,2024.10,6年或15万公里
本田,皓影,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9886d3b902964d73a5284eeee4f1cfa8~tplv-resize:640:0.png,123795,"[14.09, 23.09]",广汽本田,56,紧凑型SUV,汽油,2024.10,3年或10万公里
哈弗,哈弗大狗,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/65cf06295e0845729fb21e770a756f00~tplv-resize:640:0.png,118440,"[9.89, 12.49]",长城汽车,57,紧凑型SUV,汽油,2023.07,3年或10万公里
吉利汽车,博越L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2feaeea512f442a18ea5a8194a26c29d~tplv-resize:640:0.png,116229,"[10.67, 14.47]",吉利汽车,58,紧凑型SUV,汽油,2024.05,4年或10万公里
吉利汽车,帝豪,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/433e961ce3e34561990947ae598fccad~tplv-resize:640:0.png,115799,"[4.89, 14.98]",吉利汽车,59,紧凑型车,汽油,2024.07,4年或15万公里
丰田,卡罗拉,https://p3-dcd.byteimg.com/img/motor-mis-img/b2fb8f96191b30a2992fc05fb5af0a4c~tplv-resize:640:0.png,114216,"[7.68, 11.58]",一汽丰田,60,紧凑型车,汽油,2024.07,3年或10万公里
捷途,捷途X70,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/64b7afd43bc94a05bb198142d138fb63~tplv-resize:640:0.png,113120,"[7.79, 13.99]",奇瑞汽车,61,中型SUV,汽油,2024.04,4年或10万公里
日产,逍客,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e24a2e21518e43d98622ed8452ad809a~tplv-resize:640:0.png,112050,"[9.68, 17.09]",东风日产,62,紧凑型SUV,汽油,2024.10,3年或10万公里
宝马,宝马X3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/bd415b560a0c436cb26bca2599e196b8~tplv-resize:640:0.png,110280,"[27.18, 33.12]",华晨宝马,63,中型SUV,汽油,2023.02,3年或10万公里
捷途,捷途旅行者,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a4c5373170314e3e93ccc6dae5b7963d~tplv-resize:640:0.png,109505,"[13.99, 23.99]",奇瑞汽车,64,紧凑型SUV,汽油,2025.01,4年或10万公里
比亚迪,宋L DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6dfaee65baf84590a77bc404502b8332~tplv-resize:640:0.png,109194,"[13.28, 17.28]",比亚迪,65,中型SUV,插电式混合动力,2024.07,6年或15万公里
大众,途岳,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c33c6674860948149e5d808e05ae222d~tplv-resize:640:0.png,108259,"[7.99, 17.16]",上汽大众,66,紧凑型SUV,汽油,2024.08,3年或10万公里
奥迪,奥迪A4L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/da440185e7f349d6b0d58938facb129d~tplv-resize:640:0.png,107397,"[19.95, 26.05]",一汽奥迪,67,中型车,汽油,2023.10,3年或10万公里
本田,思域,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/67e7199258414ea5afbe0ef13e8091d8~tplv-resize:640:0.png,106038,"[8.59, 14.39]",东风本田,68,紧凑型车,汽油,2022.12,3年或10万公里
极氪,ZEEKR 001,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/8c6e1943c2094ec2a14fd460d2c0ba4d~tplv-resize:640:0.png,99984,"[25.9, 32.9]",极氪,69,中大型车,纯电动,2024.08,4年或10万公里
腾势,腾势D9 DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/257a11ae6dd04cf7804d49fe09dc826f~tplv-resize:640:0.png,97948,"[33.18, 59.26]",腾势汽车,70,中大型MPV,插电式混合动力,2024.12,6年或15万公里
大众,宝来,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6569140387014329aaee5c92ae4a3fa1~tplv-resize:640:0.png,94946,"[7.29, 10.39]",一汽-大众,71,紧凑型车,汽油,2024.10,3年或10万公里
红旗,红旗HS5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ab8b7403cc8b4fb9a988e66dc53d5163~tplv-resize:640:0.png,94900,"[13.88, 20.48]",一汽红旗,72,中型SUV,汽油,2024.11,4年或10万公里
大众,大众ID.3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/67741e8ef35d455585141ee25b007919~tplv-resize:640:0.png,93816,"[10.99, 13.29]",上汽大众,73,紧凑型车,纯电动,2024.07,3年或10万公里
深蓝汽车,深蓝S07,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e3a99ed421fb474eb8e921c3253ab494~tplv-resize:640:0.png,93769,"[12.99, 18.79]",深蓝汽车,74,中型SUV,增程式,2024.07,3年或12万公里
丰田,亚洲龙,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b47ec0be1ba940aa8e02b93784b6949e~tplv-resize:640:0.png,91229,"[14.58, 22.38]",一汽丰田,75,中型车,汽油,2024.07,3年或10万公里
丰田,赛那,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/0c4126f4e19f4486ab824f4c0abb7a95~tplv-resize:640:0.png,89450,"[27.18, 38.28]",广汽丰田,76,中大型MPV,油电混合,2024.04,3年或10万公里
宝马,宝马5系,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7b93075a83174181aef306f24f5999ba~tplv-resize:640:0.png,88829,"[33.09, 39.46]",华晨宝马,77,中大型车,48V轻混系统,2024.12,3年或10万公里
宝马,宝马X5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/bf84f7f297c74b4ab69467bef101e7e1~tplv-resize:640:0.png,88169,"[55.9, 83]",华晨宝马,78,中大型SUV,48V轻混系统,2024.10,3年或10万公里
比亚迪,汉EV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/3351d7b4754540bd879bbd66c0dbecad~tplv-resize:640:0.png,87429,"[17.38, 24.38]",比亚迪,79,中大型车,纯电动,2024.09,6年或15万公里
理想汽车,理想L9,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4d19bbd0c6d947b9996ed6a690eaf852~tplv-resize:640:0.png,85817,"[40.98, 43.98]",理想汽车,80,大型SUV,增程式,2024.03,5年或10万公里
吉利汽车,缤越,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1546bce3c7764e6b9a895274b29a019f~tplv-resize:640:0.png,85634,"[6.08, 8.98]",吉利汽车,81,小型SUV,汽油,2024.07,4年或10万公里
五菱汽车,五菱宏光,https://p3-dcd.byteimg.com/img/motor-mis-img/5e5eb3f0b2e232525d8d7f1d44fa55fb~tplv-resize:640:0.png,85320,"[4.45, 5.89]",上汽通用五菱,82,微面,汽油,2022.07,3年或10万公里
零跑汽车,零跑C11,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2c5aa014fea141568f6df9bf6a486db0~tplv-resize:640:0.png,84330,"[13.58, 19.28]",零跑汽车,83,中型SUV,增程式,2024.03,4年或12万公里
长安,长安UNI-V,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/16e21ac894654caebd0997e976d3bebf~tplv-resize:640:0.png,82489,"[9.39, 11.99]",长安汽车,84,紧凑型车,汽油,2024.03,3年或10万公里
宝马,宝马X1,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7fa1ed5903d84336a686bc4b30027b72~tplv-resize:640:0.png,81709,"[18.09, 32.79]",华晨宝马,85,紧凑型SUV,汽油,2024.08,3年或10万公里
红旗,红旗E-QM5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/33ab59588d79490091c04fb70a652aa2~tplv-resize:640:0.png,81506,"[16.08, 23.48]",一汽红旗,86,中型车,纯电动,2024.04,3年或30万公里
本田,型格,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/aad4f6434a514123bf060da1cd6f9a6e~tplv-resize:640:0.png,79266,"[9.09, 16.69]",广汽本田,87,紧凑型车,汽油,2024.03,3年或10万公里
领克,领克08 EM-P,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/dbc3deec00ed4cf2b29fefc9cc05617b~tplv-resize:640:0.png,79214,"[17.58, 23.68]",领克,88,中型SUV,插电式混合动力,2024.08,5年或10万公里
丰田,汉兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/cb4f406c854649ae8c43be834e102803~tplv-resize:640:0.png,78884,"[21.48, 31.38]",广汽丰田,89,中型SUV,油电混合,2024.05,3年或10万公里
丰田,格瑞维亚,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/3e60d7bce33a4620a32d09e378963b16~tplv-resize:640:0.png,78687,"[26.48, 38.18]",一汽丰田,90,中大型MPV,油电混合,2024.04,3年或10万公里
理想汽车,理想L8,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5428303770454d329f8766d0015ff45d~tplv-resize:640:0.png,77623,"[32.18, 37.98]",理想汽车,91,中大型SUV,增程式,2024.03,5年或10万公里
现代,伊兰特,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/9df2036fdb244307bed69e9e03cf2368~tplv-resize:640:0.png,77479,"[7.28, 11.68]",北京现代,92,紧凑型车,汽油,2023.08,3年或10万公里
吉利银河,银河E5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/7dfb9003d5cd4fac8050640893630cc1~tplv-resize:640:0.png,76774,"[10.98, 14.58]",吉利银河,93,紧凑型SUV,纯电动,2024.08,6年或15万公里
日产,天籁,https://p9-dcd.byteimg.com/img/motor-mis-img/8e074b2ea146302687d68d1e51adfb3c~tplv-resize:640:0.png,76076,"[12.78, 18.98]",东风日产,94,中型车,汽油,2024.09,3年或10万公里
蔚来,蔚来ES6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5b85fcb1fcf14e148fa399f7c56b228b~tplv-resize:640:0.png,75433,"[33.8, 39.6]",蔚来,95,中型SUV,纯电动,2024.02,3年或12万公里
吉利银河,银河L7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f10ed13fe0594fda9a42cee9eebd18c1~tplv-resize:640:0.png,74261,"[11.37, 15.77]",吉利银河,96,紧凑型SUV,插电式混合动力,2024.03,4年或10万公里
坦克,坦克300,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/41b18c8a11a64b838f3104c8d74afeb3~tplv-resize:640:0.png,73547,"[19.98, 33]",长城汽车,97,紧凑型SUV,汽油,2023.08,5年或15万公里
别克,昂科威,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f10147fd60e9445da78a7593c455a4be~tplv-resize:640:0.png,72839,"[15.49, 19.99]",上汽通用别克,98,中型SUV,汽油,2024.11,3年或10万公里
零跑汽车,零跑C10,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/1de4f3c3ae7e4018955757a19a07378a~tplv-resize:640:0.png,72639,"[11.38, 15.38]",零跑汽车,99,中型SUV,增程式,2024.03,4年或12万公里
哈弗,哈弗猛龙,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a9dc9e5ea72d414cb832108cf2404eef~tplv-resize:640:0.png,70500,"[16.18, 18.88]",长城汽车,100,紧凑型SUV,插电式混合动力,2024.04,6年或15万公里
丰田,雷凌,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1b796b228c2e4582beacd3928e0d5ae0~tplv-resize:640:0.png,68943,"[7.58, 11.08]",广汽丰田,101,紧凑型车,汽油,2024.03,3年或10万公里
长安欧尚,长安欧尚X5 PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a4616746e0c748508ba07e1c3909e58f~tplv-resize:640:0.png,67735,"[7.19, 9.69]",长安汽车,102,紧凑型SUV,汽油,2023.04,3年或10万公里
大众,凌渡,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/72aad906601447f59df191ebb8522c58~tplv-resize:640:0.png,67489,"[10.29, 14.99]",上汽大众,103,紧凑型车,汽油,2024.10,3年或10万公里
广汽传祺,传祺M8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f69a32f710334f3eb3bfb5d1c0b492af~tplv-resize:640:0.png,65126,"[16.98, 33.28]",广汽传祺,104,中大型MPV,汽油,2024.05,3年或10万公里
别克,别克GL8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2e0fb3155b62405c92e9c5c9fe7d96da~tplv-resize:640:0.png,64688,"[19.79, 44.89]",上汽通用别克,105,中大型MPV,48V轻混系统,2024.10,3年或10万公里
捷达,捷达VS5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c375f1508b1e4ec6902a072796b540a2~tplv-resize:640:0.png,63677,"[6.96, 11.19]",一汽-大众捷达,106,紧凑型SUV,汽油,2024.04,3年或10万公里
沃尔沃,沃尔沃XC60,https://p3-dcd.byteimg.com/img/motor-mis-img/058f6dd326221149f0f7d23aec62600c~tplv-resize:640:0.png,63336,"[26.29, 31.99]",沃尔沃亚太,107,中型SUV,48V轻混系统,2024.06,3年不限公里
零跑汽车,零跑T03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/464986d3ad5845e9aac85a6960479de0~tplv-resize:640:0.png,62275,"[4.39, 6.39]",零跑汽车,108,微型车,纯电动,2024.03,3年或12万公里
福特,蒙迪欧,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/166345333678466f86a3c52c64198c69~tplv-resize:640:0.png,61329,"[12.98, 20.98]",长安福特,109,中型车,汽油,2024.09,3年或10万公里
荣威,荣威i5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ec1f27bfe2db4294afb8e825437ac95a~tplv-resize:640:0.png,60811,"[4.99, 7.19]",上汽集团,110,紧凑型车,汽油,2024.10,4年或15万公里
奇瑞,瑞虎7,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5beca7ea365e47fdbdff04cc33666376~tplv-resize:640:0.png,59644,"[6.99, 12.99]",奇瑞汽车,111,紧凑型SUV,汽油,2024.11,3年或10万公里
长安,长安CS55 PLUS,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a29e53d4560348e78e88739ccad6d0cb~tplv-resize:640:0.png,59361,"[7.79, 11.09]",长安汽车,112,紧凑型SUV,汽油,2023.09,3年或10万公里
